Date,Open,High,Low,Close,Adj Close,Volume
4/17/2020,70.199997,73.190002,70,73.18,73.18,1790100
4/20/2020,72.080002,74.389999,71.290001,72.370003,72.370003,2017700
4/21/2020,71.440002,71.445,66.464996,66.660004,66.660004,2365500
4/22/2020,68.099998,72.099998,67.57,72.099998,72.099998,2215100
4/23/2020,72.5,73.044998,70.760002,71.620003,71.620003,1224600
4/24/2020,72.529999,74.379997,71.57,73.400002,73.400002,1408000
4/27/2020,74.220001,74.610001,73.220001,73.739998,73.739998,1328800
4/28/2020,72.57,74.5,71.254997,71.910004,71.910004,1448400
4/29/2020,73.839996,77.379997,71.900002,75.870003,75.870003,1968300
4/30/2020,76.800003,79.849998,75.760002,76.879997,76.879997,4010500
5/1/2020,71.459999,75,70.050003,72.550003,72.550003,3798500
5/4/2020,72.019997,73.68,71.029999,73.139999,73.139999,1426700
5/5/2020,74.129997,76.25,74.120003,75.330002,75.330002,1812000
5/6/2020,75.959999,76.400002,72.870003,73.290001,73.290001,2043000
5/7/2020,74.5,79.800003,74.32,78.529999,78.529999,2105500
5/8/2020,79.129997,79.980003,77.809998,77.870003,77.870003,1080300
5/11/2020,77.18,79.459999,76.690002,78.739998,78.739998,2509200
5/12/2020,78.849998,79,76.169998,76.419998,76.419998,1251300
5/13/2020,76.230003,76.373001,72,73.089996,73.089996,1348200
5/14/2020,72.330002,73.809998,70.919998,73.760002,73.760002,1213400
5/15/2020,73.25,75,72.650002,74.550003,74.550003,1396500
5/18/2020,76.18,77.614998,75.790001,76,76,1321800
5/19/2020,76.360001,78.925003,76.160004,77.870003,77.870003,1921100
5/20/2020,78.5,81.800003,78.25,81.160004,81.160004,3087600
5/21/2020,81.68,82.239998,79.900002,80.18,80.18,1479900
5/22/2020,80.370003,82.25,79.599998,81.93,81.93,1279500
5/26/2020,83.440002,83.75,80.540001,81.209999,81.209999,2280400
5/27/2020,80.599998,81.065002,77.129997,78.809998,78.809998,3225100
5/28/2020,79.43,85.900002,78.910004,84.379997,84.379997,2953400
5/29/2020,84.379997,85.889999,83.489998,85.75,85.75,2163400
6/1/2020,85,87.989998,84.809998,87.559998,87.559998,1628100
6/2/2020,87.779999,87.989998,84.849998,87.440002,87.440002,1198800
6/3/2020,87.440002,89.099998,85.629997,86.040001,86.040001,1282000
6/4/2020,85.059998,85.550003,81.25,82.550003,82.550003,1639700
6/5/2020,82.959999,84.059998,81.25,82.730003,82.730003,1858100
6/8/2020,82.5,84.959999,81.5,84.800003,84.800003,2085500
6/9/2020,84.790001,86.849998,83.739998,86.010002,86.010002,1276800
6/10/2020,86.959999,89.440002,86.584999,88.75,88.75,1849700
6/11/2020,83.489998,84.599998,79.720001,79.730003,79.730003,3529600
6/12/2020,82.150002,82.980003,77.769997,80.110001,80.110001,4485600
6/15/2020,78.919998,80.940002,77.75,80.220001,80.220001,1880800
6/16/2020,82.480003,83.75,81.620003,82.519997,82.519997,1576700
6/17/2020,83.870003,84.199997,81.779999,82.32,82.32,1563500
6/18/2020,83.360001,84.019997,81.910004,82.720001,82.720001,1465600
6/19/2020,83.709999,84.050003,81,81.25,81.25,2632600
